Protein IDs	id	Intensity S01_F	Intensity S04_M	Intensity S05_F	Intensity S15_M	Intensity S187_F	Intensity S188_F	Intensity S205_M	Intensity S209_M	Intensity S49_F	Intensity S52_F	Intensity S54_M	Intensity S57_M	Intensity S58_F	Intensity S96_F	hgnc_symbol	description
A4D126	24	32.479908857000325	30.423421665653848	30.047912530561643	28.847447948159946	22.501425847129276	26.72598443567428	28.798847309033835	28.25799805644648	28.0296006522847	28.466843945944976	30.462950029840485	23.0486651350953	29.037477077895332	27.73246846924448	CRPPA	CDP-L-ribitol pyrophosphorylase A [Source:HGNC Symbol;Acc:HGNC:37276]
A4D2B0	25	31.207692974598412	30.671349179097433	30.443321223091555	27.777058620268548	26.72598443567428	24.492283523798655	28.58620459785214	27.47846302921181	26.931568569324174	30.11147765933911	29.48615742100181	26.067021353509347	27.431414456407378	27.431414456407378	MBLAC1	metallo-beta-lactamase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22180]
A5YKK6	27	26.575424759098897	25.843260151196514	26.08334622405623	26.010519910718997	23.913421222613916	22.30750420799226	28.024325710244028	25.07724602451981	26.02749298932271	27.198355110019076	25.90196210723885	24.569642406504894	25.45199081785062	22.958315379554094	CNOT1	CCR4-NOT transcription complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:7877]
A5YM72	28	23.938220268912346	30.098986715155913	23.95635261585214	27.6997528941011	22.501425847129276	30.95393638235263	30.443321223091555	28.284715394822257	31.696440160060266	33.36984062544901	27.777058620268548	27.99226450101173	24.270984902432993	28.489989282592838	CARNS1	carnosine synthase 1 [Source:HGNC Symbol;Acc:HGNC:29268]
A6NCE7	30	23.938220268912346	28.39917411940717	29.15557024352228	23.86067190273852	27.719471128715604	29.088915504687016	26.22250897172785	28.767618924382244	29.284715394822257	28.221587416256792	28.497622607495266	28.716203414881694	24.270984902432993	22.958315379554094	MAP1LC3B2	microtubule associated protein 1 light chain 3 beta 2 [Source:HGNC Symbol;Acc:HGNC:34390]
A6NDU8	33	26.789549564451747	26.356154795575275	23.95635261585214	29.09647549599986	26.95393638235263	24.759387593941494	29.153155690588978	25.019031410574513	26.751747531739362	29.495718059309905	29.181866987230507	26.012652498011807	27.13124091416054	27.903112123274948	C5orf51	chromosome 5 open reading frame 51 [Source:HGNC Symbol;Acc:HGNC:27750]
A6NED2	34	26.874083074663414	29.347310337614264	26.505972878346753	23.86067190273852	22.501425847129276	22.30750420799226	23.91156550639454	25.61526502363069	25.57830726763202	25.58692039793673	26.571090168835006	25.997657759781948	26.20583023058122	25.105495501323983	RCCD1	RCC1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30457]
A6NHL2	37	23.938220268912346	27.73246846924448	29.91170814696333	28.669660828944664	30.575424759098897	26.751747531739362	28.443321223091555	30.39304801661033	31.59334666709616	30.853409506398663	26.86230590688706	27.39917411940717	24.270984902432993	29.23990759946358	TUBAL3	tubulin alpha like 3 [Source:HGNC Symbol;Acc:HGNC:23534]
A6NHX0	38	30.96085579629242	31.66712459323571	32.04791253056164	30.721102214294532	25.6997528941011	26.434599214965335	30.76919650249558	30.123861383794942	30.29789078356999	32.236490238905844	31.704707776043865	29.172359901486132	29.304433629436762	29.58978005207597	CASTOR2	cytosolic arginine sensor for mTORC1 subunit 2 [Source:HGNC Symbol;Acc:HGNC:37073]
A6NNZ2	1682	34.906341637213515	35.89509688004589	37.90297740318014	36.38760206461335	37.64554570357572	34.730242868151	37.28967027676502	38.276731221057524	38.06727785542857	39.34856396581859	36.28105714646031	37.53397747452991	35.014216611677156	37.09702519882263	TUBB8B	tubulin beta 8B [Source:HGNC Symbol;Acc:HGNC:24983]
A8MTJ3	496	29.037477077895332	28.58620459785214	28.382779681156503	31.14831442751948	27.47846302921181	27.808085515889175	30.61981887845735	28.635472142768837	28.719471128715604	30.11147765933911	29.939997191394756	29.46878696986277	30.242181350983703	28.795754713978454	GNAT3	G protein subunit alpha transducin 3 [Source:HGNC Symbol;Acc:HGNC:22800]
B2RXH8	563	23.938220268912346	23.598325161208976	23.95635261585214	29.50142417765512	25.101493570766486	22.30750420799226	27.12139312820419	26.36952865765865	23.686456071487644	26.249885410659157	23.826202128285704	25.95393638235263	24.270984902432993	22.958315379554094	HNRNPCL2	heterogeneous nuclear ribonucleoprotein C like 2 [Source:HGNC Symbol;Acc:HGNC:48813]
B5ME19	2450	23.938220268912346	23.598325161208976	23.95635261585214	30.034856377736197	27.54627841343938	22.30750420799226	29.669660828944664	28.024325710244028	30.372437736935044	30.073675626626724	28.823352272542483	29.39917411940717	27.981417118774736	27.019031410574513	EIF3CL	eukaryotic translation initiation factor 3 subunit C like [Source:HGNC Symbol;Acc:HGNC:26347]
E9PAV3	43	23.938220268912346	23.598325161208976	25.24263567157977	26.6997528941011	24.648559463729114	22.30750420799226	26.0296006522847	25.455130525381186	23.060311375179584	25.429819436852	26.397543033828242	22.664109134470348	27.73246846924448	22.958315379554094	NACA	nascent polypeptide associated complex subunit alpha [Source:HGNC Symbol;Acc:HGNC:7629]
O00142	45	26.34435009466265	26.329029295378895	29.421416529763473	29.447268407608217	25.675729664894583	22.30750420799226	29.011053353150988	22.86370325564101	27.3661967969609	29.59334666709616	28.275864477239992	26.60399391129567	27.632008287465265	25.933821021055554	TK2	thymidine kinase 2 [Source:HGNC Symbol;Acc:HGNC:11831]
O00148	46	23.938220268912346	23.598325161208976	23.95635261585214	28.235349317501278	27.019031410574513	26.105495501323983	26.20583023058122	24.410540374357115	23.060311375179584	26.516531070045332	23.826202128285704	27.73246846924448	24.270984902432993	22.958315379554094	DDX39A	DExD-box helicase 39A [Source:HGNC Symbol;Acc:HGNC:17821]
O00154	47	28.841461653094218	29.737312441475794	30.815739088432608	28.628536095558463	28.081315688828855	28.076226812156058	28.008384166375006	29.443321223091555	28.859346531406516	30.662887600349237	30.242181350983703	28.925922006183033	25.855193180692496	28.48615742100181	ACOT7	acyl-CoA thioesterase 7 [Source:HGNC Symbol;Acc:HGNC:24157]
O00194	51	28.516531070045332	28.859346531406516	28.579026995779095	27.091439906102565	24.148799285544843	22.30750420799226	27.856381072929956	22.86370325564101	25.410540374357115	26.838459164932694	29.123861383794942	27.141021934953123	26.543331129389045	22.958315379554094	RAB27B	RAB27B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9767]
O00231	53	27.95393638235263	29.811151818936956	26.40568008326658	32.163389747981576	30.792655475319567	31.28140266078142	31.303345213662098	31.105245705627595	30.792655475319567	31.632875031282797	30.823352272542483	32.48711634097124	28.98956029208335	26.632008287465265	PSMD11	proteasome 26S subunit, non-ATPase 11 [Source:HGNC Symbol;Acc:HGNC:9556]
O00232	54	28.2714185722088	29.67640240682372	30.160387259820055	32.044659552766554	29.357833324026274	29.575424759098897	30.939997191394756	29.153155690588978	30.047912530561643	30.275864477239992	29.575424759098897	30.123861383794942	29.632008287465265	27.280296723555253	PSMD12	proteasome 26S subunit, non-ATPase 12 [Source:HGNC Symbol;Acc:HGNC:9557]
O00233	55	23.938220268912346	23.598325161208976	23.95635261585214	28.62156654074362	22.501425847129276	25.67303555572532	28.58620459785214	22.86370325564101	27.081315688828855	27.99226450101173	26.92025325609634	26.6997528941011	28.33671003246052	25.929312595383806	PSMD9	proteasome 26S subunit, non-ATPase 9 [Source:HGNC Symbol;Acc:HGNC:9567]
O00241	1472	30.838459164932694	27.82638633263212	31.538898883073784	27.06085158626914	22.501425847129276	22.30750420799226	30.808085515889175	22.86370325564101	27.235349317501278	27.693119801768653	27.638927701405056	22.664109134470348	28.57181350554652	22.861321700534262	SIRPB1	signal regulatory protein beta 1 [Source:HGNC Symbol;Acc:HGNC:15928]
O00264	56	25.651299626074028	25.323885992102934	27.17949608276776	31.242181350983703	28.520283204906438	26.21511999249848	30.777058620268548	26.532967959856006	30.29789078356999	30.602224818442615	28.462950029840485	29.994963650612682	27.081315688828855	26.997657759781948	PGRMC1	progesterone receptor membrane component 1 [Source:HGNC Symbol;Acc:HGNC:16090]
O00299	61	31.487116340971237	31.462950029840485	29.216970788186423	32.48951085611162	28.198355110019076	29.351528747172065	33.02992969665627	28.527758325468586	30.340959505461875	32.095847007625345	32.375030181551566	30.308779099712726	32.14528036742985	31.142239913109794	CLIC1	chloride intracellular channel 1 [Source:HGNC Symbol;Acc:HGNC:2062]
O00303	62	23.938220268912346	23.598325161208976	23.95635261585214	29.78487812472785	22.501425847129276	22.30750420799226	28.39100018796147	27.091439906102565	28.071119921722968	29.282507750870604	29.143456863870178	29.191311833014957	28.82638633263212	22.958315379554094	EIF3F	eukaryotic translation initiation factor 3 subunit F [Source:HGNC Symbol;Acc:HGNC:3275]
O00329	1094	23.938220268912346	23.598325161208976	23.95635261585214	26.502942005297374	26.88576487971105	25.40730200029057	25.867028317129463	25.49533684777621	27.315272861798228	28.0296006522847	23.931568569324174	25.38771760397217	24.270984902432993	22.958315379554094	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]
O00399	64	23.938220268912346	26.82638633263212	27.97596268868263	28.008384166375006	27.645814086990296	22.30750420799226	29.497622607495266	28.169973308649254	29.58620459785214	29.939997191394756	26.986851004825365	28.0659948895451	24.270984902432993	26.115452028356405	DCTN6	dynactin subunit 6 [Source:HGNC Symbol;Acc:HGNC:16964]
O00408	65	23.938220268912346	25.779565475879124	23.95635261585214	24.133202430493824	30.184234001774424	27.188956412016825	24.814211618686016	30.123861383794942	31.382779681156503	30.868206508326743	23.826202128285704	30.671349179097433	24.270984902432993	24.967192479054894	PDE2A	phosphodiesterase 2A [Source:HGNC Symbol;Acc:HGNC:8777]
O00410	66	33.176824149630725	33.67345684205942	34.657573800452774	34.12231921898653	32.47749833840964	31.538898883073784	34.50023726270468	33.860826977961146	33.860826977961146	35.350211818700075	34.46416800799716	32.508525234030266	33.66288760034924	33.261925286282114	IPO5	importin 5 [Source:HGNC Symbol;Acc:HGNC:6402]
O00423	67	26.575424759098897	25.23169229389319	29.308779099712726	24.958368628667888	22.501425847129276	22.30750420799226	23.91156550639454	26.764458583488917	26.60399391129567	28.32817335050603	23.826202128285704	22.664109134470348	24.270984902432993	26.575424759098897	EML1	EMAP like 1 [Source:HGNC Symbol;Acc:HGNC:3330]
O00429	68	26.874083074663414	25.964991570861624	23.95635261585214	31.403243783716217	31.236490238905848	27.47846302921181	29.751747531739362	31.43340575422647	32.216392669548796	31.683949215877067	29.78487812472785	32.15436347219229	26.03590522913891	29.068559681404405	DNM1L	dynamin 1 like [Source:HGNC Symbol;Acc:HGNC:2973]
O00445	832	31.89374160043388	30.91170814696333	32.28691966574899	31.382779681156503	32.10836504747177	22.30750420799226	32.72313848145105	31.196011169550776	31.9574002376562	31.78487812472785	32.13001361077654	32.41840359088722	32.201863895796215	30.918832581396714	SYT5	synaptotagmin 5 [Source:HGNC Symbol;Acc:HGNC:11513]
O00459	932	23.938220268912346	24.98032788124403	23.95635261585214	26.308345141207155	29.15798076211296	26.10749231138793	25.5314814115113	22.86370325564101	28.997657759781948	28.419408603147225	23.826202128285704	27.55362038878055	24.270984902432993	22.958315379554094	PIK3R2	phosphoinositide-3-kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:8980]
O00468	70	30.136139713573378	29.242181350983703	30.76919650249558	28.275864477239992	22.501425847129276	22.30750420799226	29.657786728656372	26.751747531739362	28.12139312820419	29.409326835768063	29.141021934953123	23.40405634078692	29.214656922348176	25.915702163865152	AGRN	agrin [Source:HGNC Symbol;Acc:HGNC:329]
O00487	72	26.751747531739362	28.808085515889175	23.95635261585214	31.213498596279617	29.751747531739362	29.138582889501706	30.55727741238864	29.198355110019076	30.491901403536616	31.584413542326153	30.160387259820055	30.712928282848832	29.67303555572532	28.216970788186423	PSMD14	proteasome 26S subunit, non-ATPase 14 [Source:HGNC Symbol;Acc:HGNC:16889]
O00499	73	29.80501268183955	30.662887600349237	30.875548483667913	30.372437736935044	30.196011169550776	29.40527431894359	29.925922006183033	32.057627685394856	32.01171987893826	33.66288760034924	31.721102214294532	30.59334666709616	27.73892349138178	29.994963650612682	BIN1	bridging integrator 1 [Source:HGNC Symbol;Acc:HGNC:1052]
O00505	74	23.575424759098897	24.84804521376189	24.323885992102934	27.777058620268548	28.638927701405056	22.30750420799226	26.897352853986263	27.48615742100181	28.34942108421007	28.656082422444126	27.795754713978454	27.90884849282409	24.759387593941494	27.169973308649254	KPNA3	karyopherin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6396]
O00506	2985	23.938220268912346	23.598325161208976	23.95635261585214	28.08638667837628	26.0873987408807	25.292635058118496	24.913421222613916	29.260243496652123	29.02696559211673	26.942795824747428	23.826202128285704	27.455130525381186	24.270984902432993	22.958315379554094	STK25	serine/threonine kinase 25 [Source:HGNC Symbol;Acc:HGNC:11404]
O00507	2300	25.70503749722937	24.216970788186423	28.56456376646713	30.073675626626724	32.210598705773826	26.686456071487644	30.55727741238864	30.96085579629242	30.96085579629242	30.443321223091555	27.693119801768653	29.000346847309586	28.789549564451747	26.61806909650739	USP9Y	ubiquitin specific peptidase 9 Y-linked [Source:HGNC Symbol;Acc:HGNC:12633]
O00533	75	30.679761418913635	29.43936320952287	29.340959505461875	27.29789078356999	26.814211618686016	25.133202430493824	29.48615742100181	27.48615742100181	28.101493570766486	30.021680988988464	29.835450415060354	28.050509642047682	27.87993580090885	27.679761418913635	CHL1	cell adhesion molecule L1 like [Source:HGNC Symbol;Acc:HGNC:1939]
O00560	77	26.187069302472562	24.06907209307411	26.13907102858296	25.257098900891734	22.501425847129276	22.30750420799226	23.91156550639454	22.86370325564101	23.060311375179584	24.400790945083088	22.96232838816447	22.664109134470348	28.403243783716217	24.828808994898974	SDCBP	syndecan binding protein [Source:HGNC Symbol;Acc:HGNC:10662]
O00571	79	23.938220268912346	27.470727380432205	23.95635261585214	27.28912057394226	23.809312819273178	23.749191826835606	27.97596268868263	22.86370325564101	25.80439732885906	24.876427015131714	23.826202128285704	24.87173531980699	24.270984902432993	22.958315379554094	DDX3X	DEAD-box helicase 3 X-linked [Source:HGNC Symbol;Acc:HGNC:2745]
O00629	81	23.938220268912346	27.071119921722968	26.764458583488917	30.06085158626914	27.964991570861624	25.06085158626914	30.56637961949589	29.11644391223246	30.662887600349237	31.067277855428575	29.050509642047682	30.29789078356999	29.59690448650935	26.95393638235263	KPNA4	karyopherin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6397]
O00743	82	23.938220268912346	23.598325161208976	28.90884849282409	27.235349317501278	22.501425847129276	24.492283523798655	23.967192479054894	25.814211618686016	27.091439906102565	30.351528747172065	23.826202128285704	27.58978005207597	24.270984902432993	25.483084586952188	PPP6C	protein phosphatase 6 catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9323]
O00763	1620	23.938220268912346	23.598325161208976	23.95635261585214	21.801045203289576	25.249885410659157	28.65266775803136	26.931568569324174	26.528503711711405	27.235349317501278	26.60399391129567	23.826202128285704	22.664109134470348	24.270984902432993	22.958315379554094	ACACB	acetyl-CoA carboxylase beta [Source:HGNC Symbol;Acc:HGNC:85]
O00764	84	30.160387259820055	29.41739787802608	28.462950029840485	32.044659552766554	33.13461062488663	31.765249317978917	32.913492556641515	33.05277828573346	33.63070719460009	34.075270646182105	29.850431806598767	32.74534976054121	30.06085158626914	32.21349859627962	PDXK	pyridoxal kinase [Source:HGNC Symbol;Acc:HGNC:8819]
O14498	88	29.3765834151926	29.334580592899172	26.175694512607905	28.39100018796147	22.501425847129276	22.30750420799226	25.840861655147997	22.86370325564101	23.060311375179584	24.400790945083088	27.216970788186423	22.664109134470348	29.040093026102344	22.958315379554094	ISLR	immunoglobulin superfamily containing leucine rich repeat [Source:HGNC Symbol;Acc:HGNC:6133]
O14525	89	31.160387259820055	28.15557024352228	28.832435377304922	25.2714185722088	22.759285992121608	22.30750420799226	27.0296006522847	25.874083074663414	26.58978005207597	27.92025325609634	28.50142417765512	25.801933288907577	27.081315688828855	22.958315379554094	ASTN1	astrotactin 1 [Source:HGNC Symbol;Acc:HGNC:773]
O14531	90	29.455130525381186	30.230776587711453	30.26472391963479	29.198355110019076	26.354474311936357	24.410540374357115	29.20303159722855	27.95393638235263	30.59334666709616	31.57992615133384	30.423421665653848	29.355734858142274	28.39100018796147	28.524025606592254	DPYSL4	dihydropyrimidinase like 4 [Source:HGNC Symbol;Acc:HGNC:3016]
O14556	488	34.190134603214105	32.84408371412657	34.43340575422647	35.31013437932474	33.03321601935494	33.73529609587729	35.66023314690326	33.47024252240684	33.93297676371698	36.638819840387406	35.558418333793206	31.8119173774802	34.799426433297	34.240760676284076	GAPDHS	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic [Source:HGNC Symbol;Acc:HGNC:24864]
O14576	92	27.040093026102344	27.795754713978454	30.584413542326153	26.712928282848832	27.34942108421007	29.845953701479615	30.59334666709616	28.39100018796147	29.87993580090885	31.66712459323571	27.61104866882962	26.90884849282409	27.538898883073784	29.43936320952287	DYNC1I1	dynein cytoplasmic 1 intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:2963]
O14594	94	33.915274761983525	34.091124597382944	34.95480312617016	33.020025572810404	31.882853284291144	29.359928742028465	34.0348563777362	33.316891745500044	33.43340575422647	34.47629156707965	34.70470777604387	31.683949215877067	32.948724955707284	33.330312261262364	NCAN	neurocan [Source:HGNC Symbol;Acc:HGNC:2465]
O14618	96	23.938220268912346	23.598325161208976	23.95635261585214	27.071119921722968	22.501425847129276	23.33756092900001	25.15267229469205	22.86370325564101	25.36118453352591	27.169973308649254	23.826202128285704	25.445690829494882	24.270984902432993	24.779565475879124	CCS	copper chaperone for superoxide dismutase [Source:HGNC Symbol;Acc:HGNC:1613]
O14672	98	31.303345213662098	27.0296006522847	29.43340575422647	25.525519853272584	22.501425847129276	22.30750420799226	28.253496664211536	22.86370325564101	23.060311375179584	27.94837685701073	27.382779681156503	22.664109134470348	28.856381072929956	22.958315379554094	ADAM10	ADAM metallopeptidase domain 10 [Source:HGNC Symbol;Acc:HGNC:188]
O14735	99	23.938220268912346	24.626448762123367	28.32817335050603	25.35110746083796	22.501425847129276	22.30750420799226	28.939997191394756	22.86370325564101	26.064967694741373	26.73892349138178	25.707672557397338	24.303127431936137	26.86230590688706	25.187069302472562	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase [Source:HGNC Symbol;Acc:HGNC:1769]
O14744	100	33.14982906812148	26.86230590688706	32.29241565350384	31.65863812734788	30.904548355390464	29.221587416256792	32.367238830260725	30.845953701479615	31.247850101070394	32.02498613371213	31.467815785012302	30.123861383794942	32.76327166853847	30.868206508326743	PRMT5	protein arginine methyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:10894]
O14773	102	33.4457894786823	32.524959692115914	32.74534976054121	32.808085515889175	31.308779099712726	30.31958585466931	33.36984062544901	31.97459585291872	31.91170814696333	33.65224035614973	33.03649487313195	30.761291304410232	33.5754247590989	31.219280948873624	TPP1	tripeptidyl peptidase 1 [Source:HGNC Symbol;Acc:HGNC:2073]
O14775	103	25.73892349138178	27.751747531739362	27.12139312820419	28.997657759781948	22.501425847129276	22.30750420799226	23.91156550639454	27.198355110019076	27.568193189867824	24.400790945083088	29.39100018796147	26.712928282848832	25.656764386550837	22.958315379554094	GNB5	G protein subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:4401]
O14807	106	29.063425529932967	27.86230590688706	29.61104866882962	28.635472142768837	26.301383993608088	22.30750420799226	30.242181350983703	27.315272861798228	27.40730200029057	28.90884849282409	28.844457905554137	27.17949608276776	29.138582889501706	26.34942108421007	MRAS	muscle RAS oncogene homolog [Source:HGNC Symbol;Acc:HGNC:7227]
O14818	107	32.52962106948577	32.26472391963479	30.882853284291144	32.073675626626724	29.282507750870604	28.582620260503102	32.4457894786823	29.994963650612682	31.172359901486132	32.204781379178506	32.679761418913635	30.712928282848832	30.330312261262367	29.95393638235263	PSMA7	proteasome 20S subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:9536]
O14841	109	29.275864477239992	26.95393638235263	23.95635261585214	31.68812489184826	30.230776587711453	29.63374125468972	32.001689513801	28.820311818222432	31.704707776043865	32.13919303755093	28.23990759946358	31.06085158626914	30.925922006183033	29.27808230248981	OPLAH	5-oxoprolinase, ATP-hydrolysing [Source:HGNC Symbol;Acc:HGNC:8149]
O14880	110	26.97596268868263	23.598325161208976	25.35110746083796	29.011053353150988	22.501425847129276	22.30750420799226	30.96085579629242	22.86370325564101	23.060311375179584	28.395092942595355	27.17949608276776	22.664109134470348	28.951159297682054	27.071119921722968	MGST3	microsomal glutathione S-transferase 3 [Source:HGNC Symbol;Acc:HGNC:7064]
O14936	112	23.938220268912346	24.838459164932694	26.97596268868263	28.56456376646713	22.03563679578789	26.964991570861624	31.275864477239992	26.023268403460985	29.4531690090479	31.117682808865816	28.315272861798228	26.135161283531883	27.712928282848832	27.17949608276776	CASK	calcium/calmodulin dependent serine protein kinase [Source:HGNC Symbol;Acc:HGNC:1497]
O14950	113	23.938220268912346	23.598325161208976	23.95635261585214	29.939997191394756	22.501425847129276	22.30750420799226	26.964991570861624	25.549219688751506	25.202097511704892	24.718164931214982	23.826202128285704	25.555084310814724	27.050509642047682	22.958315379554094	MYL12B	myosin light chain 12B [Source:HGNC Symbol;Acc:HGNC:29827]
O14964	114	23.938220268912346	26.158462382895564	23.95635261585214	29.480390477782926	29.411348833353273	30.184234001774424	28.94837685701073	31.117682808865816	31.853409506398663	32.261925286282114	26.091439906102565	29.91170814696333	24.270984902432993	28.081315688828855	HGS	hepatocyte growth factor-regulated tyrosine kinase substrate [Source:HGNC Symbol;Acc:HGNC:4897]
O14980	116	24.81909384006576	23.598325161208976	23.95635261585214	32.77116605234535	29.497622607495266	30.06085158626914	31.1663860004415	31.367238830260725	30.275864477239992	31.377617976040725	26.07520687924621	28.50142417765512	27.801933288907577	26.10749231138793	XPO1	exportin 1 [Source:HGNC Symbol;Acc:HGNC:12825]
O14983	758	24.632008287465265	27.897352853986263	30.761291304410232	29.798847309033835	28.29789078356999	27.997657759781948	32.390487776291764	28.709645698859532	31.22504021816231	31.520283204906438	28.795754713978454	28.045310735373363	29.138582889501706	29.413368000989927	ATP2A1	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:811]
O15020	118	34.60884776063635	34.61981887845735	34.993277273984795	35.208419956241855	34.0832193992976	30.584413542326153	32.56183569435095	32.6458140869903	33.173849519626614	31.570909277976405	30.890121284755185	32.044659552766554	32.74935169109871	32.40578150651812	SPTBN2	spectrin beta, non-erythrocytic 2 [Source:HGNC Symbol;Acc:HGNC:11276]
O15061	122	29.579026995779095	23.598325161208976	29.808085515889175	27.58978005207597	22.501425847129276	22.30750420799226	29.60399391129567	27.78331761074023	24.620867729860066	28.645814086990296	27.74534976054121	22.664109134470348	33.316891745500044	22.958315379554094	SYNM	synemin [Source:HGNC Symbol;Acc:HGNC:24466]
O15067	123	30.662887600349237	30.925922006183033	30.275864477239992	30.196011169550776	27.82638633263212	28.091439906102565	28.801933288907577	27.61104866882962	28.86230590688706	30.753342551294743	30.29789078356999	27.758117056615088	27.90884849282409	27.39917411940717	PFAS	phosphoribosylformylglycinamidine synthase [Source:HGNC Symbol;Acc:HGNC:8863]
O15075	125	23.938220268912346	23.598325161208976	23.95635261585214	23.86067190273852	21.917214719041425	25.429819436852	26.777058620268548	28.28912057394226	27.6250555268235	27.82638633263212	23.826202128285704	25.367863689163535	24.270984902432993	23.967192479054894	DCLK1	doublecortin like kinase 1 [Source:HGNC Symbol;Acc:HGNC:2700]
O15126	128	23.938220268912346	23.598325161208976	26.07928229167633	25.779565475879124	27.0296006522847	22.30750420799226	27.5314814115113	26.67303555572532	26.513522320172992	26.986851004825365	24.733761786266	27.77077235742112	24.270984902432993	22.958315379554094	SCAMP1	secretory carrier membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:10563]
